NOFB 18INNER w, n0, rfit:0.3168125212096793 23.560101398435528 1.0
 NOFB 18OUTER w, n0, rfit:1.737675329386714 441.33237202686996 10.0
 NOFB 18ALL w, n0, rfit:1.1552074857555243 307.7438443597029 10.0
 NOFB 18M5OUTER w, n0, rfit:3.3863698475233557 1009.8917017920936 10.0
 NOFB 19INNER w, n0, rfit:0.3843067452852884 26.083482798314858 1.0
 NOFB 19OUTER w, n0, rfit:1.8273940898224768 503.2047370944801 10.0
 NOFB 19ALL w, n0, rfit:1.1967435315597996 341.09174744346313 10.0
 NOFB 19M5OUTER w, n0, rfit:3.3331369824873662 1060.9505988835356 10.0
 NOFB 20INNER w, n0, rfit:0.43816211135511035 29.59905909635923 1.0
 NOFB 20OUTER w, n0, rfit:1.9297423688905249 578.280802550571 10.0
 NOFB 20ALL w, n0, rfit:1.233779529649503 377.1118133801432 10.0
 NOFB 20M5OUTER w, n0, rfit:3.2722176328823824 1121.372496631298 10.0
 NOFB 21INNER w, n0, rfit:0.402136222875458 27.333277834722757 1.0
 NOFB 21OUTER w, n0, rfit:2.03518597690356 672.4802210368077 10.0
 NOFB 21ALL w, n0, rfit:1.3042224980047352 428.76231544182536 10.0
 NOFB 21M5OUTER w, n0, rfit:3.197684378087327 1190.1564167045183 10.0
 NOFB 22INNER w, n0, rfit:0.3537812594071076 25.87368424000975 1.0
 NOFB 22OUTER w, n0, rfit:2.100923062874317 745.941619864095 10.0
 NOFB 22ALL w, n0, rfit:1.3458886562381527 468.156068575203 10.0
 NOFB 22M5OUTER w, n0, rfit:3.124881601678152 1247.1742448307812 10.0
 NOFB 23INNER w, n0, rfit:0.3190197070803218 25.946502964407234 1.0
 NOFB 23OUTER w, n0, rfit:2.1890087731929664 858.9350063297301 10.0
 NOFB 23ALL w, n0, rfit:1.3904357725284477 524.5995201998436 10.0
 NOFB 23M5OUTER w, n0, rfit:3.01020208007265 1324.8453930355313 10.0
 NOFB 24INNER w, n0, rfit:0.38711518830089575 27.211062830563193 1.0
 NOFB 24OUTER w, n0, rfit:2.2942364906534083 1020.0054783002435 10.0
 NOFB 24ALL w, n0, rfit:1.458509696329236 609.326867561405 10.0
 NOFB 24M5OUTER w, n0, rfit:2.859739225901802 1425.1318624401827 10.0
 NOFB 25INNER w, n0, rfit:0.35485504143909774 27.44817326401806 1.0
 NOFB 25OUTER w, n0, rfit:2.410507132226748 1245.7005033972043 10.0
 NOFB 25ALL w, n0, rfit:1.5225250625706055 720.2274481259489 10.0
 NOFB 25M5OUTER w, n0, rfit:2.6664457611146846 1556.1130803960295 10.0
 NOFB 26INNER w, n0, rfit:0.41249116516714374 29.071077635172127 1.0
 NOFB 26OUTER w, n0, rfit:2.526947328159204 1554.2695443665725 10.0
 NOFB 26ALL w, n0, rfit:1.6002593463998687 877.8542698509743 10.0
 NOFB 26M5OUTER w, n0, rfit:2.425817876787068 1727.4688904353768 10.0
 NOFB 27INNER w, n0, rfit:0.34599165869337106 27.59712948707121 1.0
 NOFB 27OUTER w, n0, rfit:2.684623654898787 1988.5620024899338 10.0
 NOFB 27ALL w, n0, rfit:1.6914550668325254 1076.8073083889637 10.0
 NOFB 27M5OUTER w, n0, rfit:2.17022519215869 1930.8230087111285 10.0
 NOFB 28INNER w, n0, rfit:0.34679104623043494 26.65309414325753 1.0
 NOFB 28OUTER w, n0, rfit:2.7998842258484924 2457.6699880002147 10.0
 NOFB 28ALL w, n0, rfit:1.7762328102953049 1305.1262044365285 10.0
 NOFB 28M5OUTER w, n0, rfit:1.9053233925352873 2149.8420282217703 10.0
 NOFB 29INNER w, n0, rfit:0.2956341457193599 25.380776415884696 1.0
 NOFB 29OUTER w, n0, rfit:2.921080817668224 3101.815765764335 10.0
 NOFB 29ALL w, n0, rfit:1.8590599597162363 1606.5316301402916 10.0
 NOFB 29M5OUTER w, n0, rfit:1.593583589506923 2433.99708344745 10.0
 NOFB 30INNER w, n0, rfit:0.2925205146445162 25.112924397244637 1.0
 NOFB 30OUTER w, n0, rfit:3.0211113643848595 3828.9936669859285 10.0
 NOFB 30ALL w, n0, rfit:1.9335281245383569 1950.769662159082 10.0
 NOFB 30M5OUTER w, n0, rfit:1.284719356252642 2740.31987324397 10.0
 NOFB 31INNER w, n0, rfit:0.35744937461145854 26.099208942936844 1.0
 NOFB 31OUTER w, n0, rfit:3.0851078052257863 4516.416683590059 10.0
 NOFB 31ALL w, n0, rfit:1.9926774525425586 2294.563362646193 10.0
 NOFB 31M5OUTER w, n0, rfit:1.0091268392560875 3033.1534377112343 10.0
 NOFB 32INNER w, n0, rfit:0.3425029296907883 26.052458766377296 1.0
 NOFB 32OUTER w, n0, rfit:3.1336057835549975 5211.187055291967 10.0
 NOFB 32ALL w, n0, rfit:2.0349070123220656 2635.279382403901 10.0
 NOFB 32M5OUTER w, n0, rfit:0.7441630745146732 3332.2429561155873 10.0
 NOFB 33INNER w, n0, rfit:0.3051118564349788 26.961108518687436 1.0
 NOFB 33OUTER w, n0, rfit:3.160954335494459 5895.525326722347 10.0
 NOFB 33ALL w, n0, rfit:2.053969070935578 2964.0048332528127 10.0
 NOFB 33M5OUTER w, n0, rfit:0.5114801491643254 3613.116038326169 10.0
 NOFB 34INNER w, n0, rfit:0.380717859845686 27.720102087893466 1.0
 NOFB 34OUTER w, n0, rfit:3.1809114577786737 6508.865686447046 10.0
 NOFB 34ALL w, n0, rfit:2.0926738048252203 3311.0788311285387 10.0
 NOFB 34M5OUTER w, n0, rfit:0.35285717598745053 3815.3295852941533 10.0
 NOFB 35INNER w, n0, rfit:0.35706120268949576 27.8445827487746 1.0
 NOFB 35OUTER w, n0, rfit:3.201346576196762 7246.147918134612 10.0
 NOFB 35ALL w, n0, rfit:2.1167164406032826 3691.285092228823 10.0
 NOFB 35M5OUTER w, n0, rfit:0.1884268776223052 4035.038747983316 10.0
 NOFB 36INNER w, n0, rfit:0.330945737689071 26.991913259329365 1.0
 NOFB 36OUTER w, n0, rfit:3.199706092687162 7932.554756360099 10.0
 NOFB 36ALL w, n0, rfit:2.140082138014344 4098.4342963982235 10.0
 NOFB 36M5OUTER w, n0, rfit:0.08609880692770135 4177.617298661133 10.0
 NOFB 37INNER w, n0, rfit:0.3185664608627395 26.29925140549609 1.0
 NOFB 37OUTER w, n0, rfit:3.1842394008962023 8474.904932913745 10.0
 NOFB 37ALL w, n0, rfit:2.156434871831725 4460.473474094666 10.0
 NOFB 37M5OUTER w, n0, rfit:0.04124348603970479 4240.227167709787 10.0
 NOFB 38INNER w, n0, rfit:0.3072855512902531 25.97971798909381 1.0
 NOFB 38OUTER w, n0, rfit:3.1580274408377074 8875.65988206996 10.0
 NOFB 38ALL w, n0, rfit:2.162539654581741 4760.962538667732 10.0
 NOFB 38M5OUTER w, n0, rfit:0.019907649196274496 4269.973431074216 10.0
 NOFB 39INNER w, n0, rfit:0.3335885073601803 26.156724272650738 1.0
 NOFB 39OUTER w, n0, rfit:3.1432553367938953 9289.997891674826 10.0
 NOFB 39ALL w, n0, rfit:2.1748112580806698 5065.337314923635 10.0
 NOFB 39M5OUTER w, n0, rfit:0.006710586753703567 4288.883485290506 10.0
 NOFB 40INNER w, n0, rfit:0.32652313365556757 25.530449401685352 1.0
 NOFB 40OUTER w, n0, rfit:3.13897119927751 9579.84784805471 10.0
 NOFB 40ALL w, n0, rfit:2.185689467187021 5269.311586846244 10.0
 NOFB 40M5OUTER w, n0, rfit:0.0015757685158496132 4295.831641542102 10.0
 NOFB 41INNER w, n0, rfit:0.3377373138084453 25.77615286862291 1.0
 NOFB 41OUTER w, n0, rfit:3.143944919380644 9730.461458476031 10.0
 NOFB 41ALL w, n0, rfit:2.1907525532722056 5352.961580431622 10.0
 NOFB 41M5OUTER w, n0, rfit:0.00010160862783088616 4294.972421963879 10.0
 NOFB 42INNER w, n0, rfit:0.25947056057505247 24.8236330285412 1.0
 NOFB 42OUTER w, n0, rfit:3.1440706506883473 9759.844874866296 10.0
 NOFB 42ALL w, n0, rfit:2.1829730666195086 5337.922348150335 10.0
 NOFB 42M5OUTER w, n0, rfit:0.0033328832158173657 4283.96153551571 10.0
 NOFB 43INNER w, n0, rfit:0.26967489692057056 24.740265203423903 1.0
 NOFB 43OUTER w, n0, rfit:3.1360379282568633 9772.545564629429 10.0
 NOFB 43ALL w, n0, rfit:2.1847101629177317 5376.812084192298 10.0
 NOFB 43M5OUTER w, n0, rfit:0.0067248895442204295 4268.660988705643 10.0
 NOFB 44INNER w, n0, rfit:0.2620553372179892 25.748794624141784 1.0
 NOFB 44OUTER w, n0, rfit:3.1193164518815975 9865.85608894636 10.0
 NOFB 44ALL w, n0, rfit:2.172009759972704 5441.617329585891 10.0
 NOFB 44M5OUTER w, n0, rfit:0.004755452454157597 4258.942970288993 10.0
 NOFB 45INNER w, n0, rfit:0.21872523831198035 25.57797851090778 1.0
 NOFB 45OUTER w, n0, rfit:3.11985781093648 9798.628776911513 10.0
 NOFB 45ALL w, n0, rfit:2.1622739869098755 5368.6690500559 10.0
 NOFB 45M5OUTER w, n0, rfit:0.0023645401128178636 4247.590133553483 10.0
 NOFB 46INNER w, n0, rfit:0.272039365489642 27.14911013751732 1.0
 NOFB 46OUTER w, n0, rfit:3.1134664314638494 9771.662470162564 10.0
 NOFB 46ALL w, n0, rfit:2.157786804982078 5364.881625896665 10.0
 NOFB 46M5OUTER w, n0, rfit:-0.0013271005664698987 4237.24990883986 10.0
 NOFB 47INNER w, n0, rfit:0.2610240449752219 27.15118124263586 1.0
 NOFB 47OUTER w, n0, rfit:3.1136590385030463 9734.859048725806 10.0
 NOFB 47ALL w, n0, rfit:2.1543968622512577 5332.6286243882205 10.0
 NOFB 47M5OUTER w, n0, rfit:-0.0056833906768760075 4226.256619982548 10.0
 NOFB 48INNER w, n0, rfit:0.31542586564922537 28.01809813368943 1.0
 NOFB 48OUTER w, n0, rfit:3.1116652414567056 9622.87169508991 10.0
 NOFB 48ALL w, n0, rfit:2.1558096516911474 5286.431958935178 10.0
 NOFB 48M5OUTER w, n0, rfit:-0.0049452231323031315 4206.316732564865 10.0
